Region,ProjectionTitle,Count_ID,ISO2,ISO3,Area_ID,E_Count,Type,Ind_ID,C_Ind_ID,e_cat,AcronymCombined,Acronym,Age,Sex,Other,E_Ind,Time,Value,Rounded,Formatted,Status,Note,Source,Derived,Order_In_Report,Valid,Updated on,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2010,25.06368,25,25,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2010,144.77731,145,                                               145,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2010,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2011,61.17679,61,61,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2011,185.89711,186,                                               186,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2011,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2012,57.7282,58,58,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2012,193.18277,193,                                               193,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2012,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2013,46.31855,46,46,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2013,235.86379,236,                                               236,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2013,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2014,53.08459,53,53,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2014,238.2901,238,                                               238,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2014,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2015,53.57194,54,54,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2015,235.83463,236,                                               236,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2015,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2016,55.28657,55,55,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2016,294.92161,295,                                               295,Published,,,,1233,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58391,327,AIDS (AIM),ART%lost;15+,ART%lost,15+,M+F,,P- Number of adults receiving ART  -  Percent who interrupt ART each year,2016,5,5,                                                 5,Published,,,,3762,,5/12/2025 2:27:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58308,258,AIDS (AIM),ART%eligibleDec31;15+;M+F,ART%eligibleDec31,15+,M+F,,P- ART coverage of eligible population (15+) (%) Male+Female,2017,56.72817,57,57,Published,,,,1224,,5/12/2025 1:06:00 PM,
Small countries,AntiguaBarbuda Spline3+HighFirr_27April2025,28,AG,ATG,/10/6/,Antigua and Barbuda,Country,58314,264,AIDS (AIM),MedianCD4atARTinitiation;15+;M+F,MedianCD4atARTinitiation,15+,M+F,,P- Median CD4 count at ART initiation (15+) Male+Female,2017,293.35229,293,                                               293,Published,,,,1233,,5/12/2025 1:06:00 PM,
